statistic_name,stage_t,mean,bootstrap_ci_low,bootstrap_ci_high,bootstrap_seed,B_boot
Wealth_Paths_ETO,42,1.2248582904028944,1.2210456745911604,1.2285437556751029,20260913,2000
Wealth_Paths_ETO,43,1.2266805127697462,1.2228387392894617,1.2304083672213328,20260913,2000
Wealth_Paths_ETO,44,1.2283347972686984,1.224474463580564,1.232079624746132,20260913,2000
Wealth_Paths_ETO,45,1.229716027608525,1.2258486038649412,1.233469738473996,20260913,2000
Wealth_Paths_ETO,46,1.230973309855056,1.227122143447414,1.2347417304338533,20260913,2000
Wealth_Paths_ETO,47,1.232145105334398,1.228294514325895,1.2359331793483785,20260913,2000
Wealth_Paths_ETO,48,1.2331191364842047,1.2292547868021177,1.2368734661063663,20260913,2000
Wealth_Paths_ETO,49,1.23392869459938,1.2300428220092516,1.2376760580579949,20260913,2000
Wealth_Paths_ETO,50,1.2345222027020402,1.2306568372419298,1.2382774615654295,20260913,2000
Wealth_Paths_IEO,0,1,1,1,20260913,2000
Wealth_Paths_IEO,1,1.0118925026260386,1.0112145731117055,1.012579869880324,20260913,2000
Wealth_Paths_IEO,2,1.0227250624474526,1.0217177257040284,1.0237069684512519,20260913,2000
Wealth_Paths_IEO,3,1.038554357436401,1.0361770795738199,1.0414353892347794,20260913,2000
Wealth_Paths_IEO,4,1.0601875698949894,1.0548475379668605,1.0659695297344747,20260913,2000
Wealth_Paths_IEO,5,1.0875712581394985,1.0796761648037567,1.095906177301413,20260913,2000
Wealth_Paths_IEO,6,1.1131682217974617,1.1033303822033134,1.1235821832587902,20260913,2000
Wealth_Paths_IEO,7,1.147965216433528,1.1362911026595017,1.1609938363658623,20260913,2000
Wealth_Paths_IEO,8,1.178199116019924,1.1647807363113538,1.192467017921545,20260913,2000
Wealth_Paths_IEO,9,1.2149417795061541,1.1988920668616587,1.2310206959891092,20260913,2000
Wealth_Paths_IEO,10,1.248396764282034,1.2305403046013559,1.2660406754201692,20260913,2000
Wealth_Paths_IEO,11,1.277762290190115,1.2587843414430793,1.2965120009950273,20260913,2000
Wealth_Paths_IEO,12,1.309668631437375,1.2897073320628387,1.3303535351141493,20260913,2000
Wealth_Paths_IEO,13,1.3425489618467619,1.320909421941545,1.364235505627229,20260913,2000
Wealth_Paths_IEO,14,1.3731134998582144,1.3497106722550591,1.3950865819347658,20260913,2000
Wealth_Paths_IEO,15,1.4017592161748358,1.3775920842882152,1.4251749107668408,20260913,2000
Wealth_Paths_IEO,16,1.4341242517873964,1.4089222481920138,1.4580678907366458,20260913,2000
Wealth_Paths_IEO,17,1.4648407756602024,1.4391998302710616,1.489616431851719,20260913,2000
Wealth_Paths_IEO,18,1.4955190874573892,1.469134179452861,1.5211600996552335,20260913,2000
Wealth_Paths_IEO,19,1.5221751042296823,1.495328609603383,1.5492678286360906,20260913,2000
Wealth_Paths_IEO,20,1.547601180485808,1.519690871449789,1.575443492339531,20260913,2000
Wealth_Paths_IEO,21,1.5778449925141067,1.5499256207149268,1.6066176941879315,20260913,2000
Wealth_Paths_IEO,22,1.6052371479426497,1.5757358278888138,1.633900142856569,20260913,2000
Wealth_Paths_IEO,23,1.6309508113643272,1.6013548085892715,1.660797573799658,20260913,2000
Wealth_Paths_IEO,24,1.6542939872847013,1.6240560158202082,1.6843910409004141,20260913,2000
Wealth_Paths_IEO,25,1.6780349639306456,1.6476892040062328,1.7082599046264857,20260913,2000
Wealth_Paths_IEO,26,1.703677900983565,1.6727250120894077,1.734347363571578,20260913,2000
Wealth_Paths_IEO,27,1.7263504061305466,1.6949243962688259,1.7575497677384477,20260913,2000
Wealth_Paths_IEO,28,1.7461000541433027,1.7141318027035224,1.7777130175425662,20260913,2000
Wealth_Paths_IEO,29,1.7661753012104005,1.733829802506541,1.798454758405754,20260913,2000
Wealth_Paths_IEO,30,1.7845986120942772,1.7521597309904058,1.8167378076646843,20260913,2000
