Date,Food,Food_Return（小数）,Clths,Clths_Return（小数）,Hlth,Hlth_Return（小数）,Chems,Chems_Return（小数）,Cnstr,Cnstr_Return（小数）,Steel,Steel_Return（小数）,Autos,Autos_Return（小数）,Oil,Oil_Return（小数）,Util,Util_Return（小数）,Telcm,Telcm_Return（小数）,Servs,Servs_Return（小数）,BusEq,BusEq_Return（小数）,Paper,Paper_Return（小数）,Trans,Trans_Return（小数）,Whlsl,Whlsl_Return（小数）,Rtail,Rtail_Return（小数）,Fin,Fin_Return（小数）,Mines,Mines_Return（小数）,ElcEq,ElcEq_Return（小数）,Meals,Meals_Return（小数）
2017-03-08,-0.16,-0.0016,0.63,0.0063,0.46,0.0046,0.15,0.0015,0.47,0.004699999999999999,-0.41,-0.0040999999999999995,0.06,0.0006,-2.72,-0.027200000000000002,-1.59,-0.0159,-0.22,-0.0022,0.31,0.0031,-0.14,-0.0014000000000000002,0.24,0.0024,-0.48,-0.0048,-0.25,-0.0025,0.5,0.005,-0.09,-0.0009,-0.96,-0.0096,-0.64,-0.0064,-0.15,-0.0015
2017-03-09,0.47,0.004699999999999999,-0.55,-0.0055000000000000005,0.69,0.0069,-0.33,-0.0033,-0.75,-0.0075,-1.36,-0.013600000000000001,-0.8,-0.008,0.62,0.0062,-0.22,-0.0022,0.29,0.0029,-0.07,-0.0007000000000000001,-0.03,-0.0003,-0.05,-0.0005,-0.62,-0.0062,-0.33,-0.0033,-0.22,-0.0022,0.2,0.002,-1.75,-0.0175,-0.57,-0.005699999999999999,-0.3,-0.003
2017-03-10,0.42,0.0042,0.54,0.0054,0.29,0.0029,0.45,0.0045000000000000005,1.25,0.0125,0.46,0.0046,0.46,0.0046,-0.15,-0.0015,0.8,0.008,0.17,0.0017000000000000001,0.46,0.0046,0.48,0.0048,0.62,0.0062,0.61,0.0060999999999999995,0.07,0.0007000000000000001,0.25,0.0025,0.04,0.0004,1.03,0.0103,0.73,0.0073,-0.02,-0.0002
2017-03-13,-0.02,-0.0002,0.0,0.0,-0.07,-0.0007000000000000001,0.53,0.0053,-0.15,-0.0015,0.79,0.0079,0.48,0.0048,0.11,0.0011,0.23,0.0023,0.37,0.0037,0.25,0.0025,0.05,0.0005,0.14,0.0014000000000000002,-0.34,-0.0034000000000000002,0.43,0.0043,-0.11,-0.0011,0.12,0.0012,0.73,0.0073,0.46,0.0046,0.08,0.0008
2017-03-14,-0.17,-0.0017000000000000001,0.5,0.005,-0.36,-0.0036,-0.69,-0.0069,-0.68,-0.0068000000000000005,-0.2,-0.002,0.76,0.0076,-1.19,-0.011899999999999999,-0.38,-0.0038,-0.14,-0.0014000000000000002,-0.31,-0.0031,-0.26,-0.0026,-0.41,-0.0040999999999999995,-1.51,-0.0151,-0.57,-0.005699999999999999,0.05,0.0005,-0.18,-0.0018,-1.95,-0.0195,-1.22,-0.012199999999999999,-0.3,-0.003
2017-03-15,0.79,0.0079,1.06,0.0106,1.3,0.013000000000000001,1.48,0.0148,1.48,0.0148,3.43,0.034300000000000004,0.9,0.009000000000000001,2.12,0.0212,1.83,0.0183,0.9,0.009000000000000001,0.47,0.004699999999999999,0.93,0.009300000000000001,0.98,0.0098,1.18,0.0118,1.3,0.013000000000000001,0.26,0.0026,0.1,0.001,3.41,0.0341,1.93,0.019299999999999998,0.64,0.0064
2017-03-16,0.05,0.0005,0.15,0.0015,-0.84,-0.0084,-0.54,-0.0054,0.66,0.0066,0.53,0.0053,0.41,0.0040999999999999995,-0.56,-0.005600000000000001,-0.98,-0.0098,-0.27,-0.0027,0.49,0.0049,-0.12,-0.0012,-0.31,-0.0031,-0.31,-0.0031,-0.24,-0.0024,0.15,0.0015,0.4,0.004,-1.41,-0.0141,-0.03,-0.0003,0.22,0.0022
2017-03-17,-0.25,-0.0025,0.38,0.0038,-0.55,-0.0055000000000000005,0.79,0.0079,-0.27,-0.0027,0.43,0.0043,-0.95,-0.0095,-0.04,-0.0004,0.47,0.004699999999999999,0.26,0.0026,0.09,0.0009,0.07,0.0007000000000000001,0.33,0.0033,-0.27,-0.0027,0.25,0.0025,0.08,0.0008,-0.78,-0.0078000000000000005,0.0,0.0,0.31,0.0031,0.74,0.0074
2017-03-20,0.1,0.001,0.22,0.0022,0.07,0.0007000000000000001,0.18,0.0018,-0.53,-0.0053,0.08,0.0008,-0.83,-0.0083,-0.06,-0.0006,-0.61,-0.0060999999999999995,-0.16,-0.0016,-0.25,-0.0025,0.39,0.0039000000000000003,0.45,0.0045000000000000005,-0.41,-0.0040999999999999995,-0.78,-0.0078000000000000005,-0.52,-0.0052,-1.0,-0.01,0.3,0.003,-0.64,-0.0064,-0.16,-0.0016
2017-03-21,-0.35,-0.0034999999999999996,-1.33,-0.013300000000000001,-1.34,-0.0134,-1.91,-0.0191,-1.83,-0.0183,-4.98,-0.049800000000000004,-3.45,-0.0345,-0.88,-0.0088,0.97,0.0097,-0.93,-0.009300000000000001,-1.56,-0.015600000000000001,-1.52,-0.0152,-1.2,-0.012,-1.85,-0.018500000000000003,-1.49,-0.0149,-1.14,-0.011399999999999999,-2.87,-0.0287,-1.04,-0.0104,-1.6,-0.016,-0.39,-0.0039000000000000003
2017-03-22,-0.01,-0.0001,-2.92,-0.0292,0.19,0.0019,0.1,0.001,-0.13,-0.0013,0.81,0.008100000000000001,0.39,0.0039000000000000003,-0.2,-0.002,0.32,0.0032,-0.34,-0.0034000000000000002,0.49,0.0049,0.84,0.0084,0.11,0.0011,0.67,0.0067,0.31,0.0031,0.4,0.004,-0.23,-0.0023,1.12,0.011200000000000002,0.29,0.0029,0.75,0.0075
