stage,regret_eto_mean,regret_eto_ci_lower,regret_eto_ci_upper,regret_ieo_mean,regret_ieo_ci_lower,regret_ieo_ci_upper,regret_eto_minus_ieo_mean,regret_difference_ci_lower,regret_difference_ci_upper,true_regret_eto_mean,true_regret_ieo_mean,true_regret_eto_minus_ieo_mean,intercept_gap_mean,intercept_gap_ci_lower,intercept_gap_ci_upper,slope_gap_mean,slope_gap_ci_lower,slope_gap_ci_upper,intercept_angle_mean,intercept_angle_ci_lower,intercept_angle_ci_upper,slope_angle_mean,slope_angle_ci_lower,slope_angle_ci_upper
30,0.0044473245970486,0.00441251933210869,0.00448212986198851,0.00174056183472627,0.0015888066288462,0.00189231704060634,0.00270676276232233,0.00254635392834155,0.00286717159630311,5.51200329123048e-07,7.63135154921237e-07,-2.11934825798188e-07,27.6089557345781,27.1118388605773,28.106072608579,16.5647223149833,16.2922613153893,16.8371833145773,0.126301329318781,0.122774257340506,0.129828401297055,1.11148107648162,1.10473509520118,1.11822705776206
31,0.00401037296429425,0.00397799960122495,0.00404274632736355,0.00131701407067319,0.0012103098690464,0.00142371827229997,0.00269335889362106,0.00257762472184394,0.00280909306539819,4.97080240770669e-07,6.53842776743096e-07,-1.56762535972427e-07,26.0094865812345,25.5692412670209,26.4497318954481,15.8887762565111,15.6413371660103,16.1362153470118,0.124055457728398,0.120522982113684,0.127587933343113,1.09872956811026,1.09196470106012,1.10549443516039
32,0.00358725933662919,0.00355876016313006,0.00361575851012832,0.00124789411402658,0.00114310830475668,0.00135267992329649,0.00233936522260261,0.00222677517446092,0.00245195527074429,4.54540374314318e-07,5.97113026950901e-07,-1.42572652636582e-07,25.5808339661805,25.1329282781955,26.0287396541654,16.0165604866725,15.7582048950176,16.2749160783274,0.125582401196794,0.122140622216177,0.129024180177412,1.10020867557104,1.09351582269622,1.10690152844586
33,0.00322408307591851,0.00319836211261647,0.00324980403922056,0.0010701524750649,0.000988464332745354,0.00115184061738445,0.00215393060085361,0.00206491740832868,0.00224294379337854,4.20419199838275e-07,5.36990124716108e-07,-1.16570924877833e-07,24.5617720019582,24.1344236161956,24.9891203877207,15.8056514295108,15.5540985302397,16.0572043287819,0.123338220492384,0.119932669282407,0.12674377170236,1.09472978660157,1.08794071110793,1.10151886209521
34,0.00283316632917881,0.00281036705467104,0.00285596560368658,0.000923666108066394,0.000848362078672736,0.000998970137460052,0.00190950022111242,0.00182811780713851,0.00199088263508633,3.72581372442305e-07,4.6003133297996e-07,-8.74499605376547e-08,23.2275262859565,22.8178936617576,23.6371589101555,15.2792362546578,15.0330821738586,15.5253903354569,0.122488034904577,0.119194079102482,0.125781990706673,1.08226376345778,1.07537660173987,1.08915092517569
35,0.00249592473603286,0.00247547449364566,0.00251637497842007,0.000794605064389479,0.000732145312787168,0.000857064815991791,0.00170131967164338,0.00163473789794228,0.00176790144534448,3.38204814837785e-07,4.12432495457405e-07,-7.42276806196196e-08,22.309528090649,21.9151741612594,22.7038820200386,15.0854208853065,14.842310245219,15.3285315253939,0.119824188032445,0.116543392978833,0.123104983086056,1.07650216990608,1.06940627171385,1.0835980680983
36,0.00218634060062024,0.0021684505235177,0.00220423067772278,0.000712130010857393,0.00065218122665127,0.000772078795063516,0.00147421058976284,0.00141083504606459,0.00153758613346109,3.04138299928874e-07,3.64929239109312e-07,-6.07909391804376e-08,21.2350992184536,20.8454933585352,21.6247050783721,14.7179898646309,14.4703218565029,14.9656578727588,0.120565696623239,0.117376789211047,0.123754604035431,1.06458654540744,1.05728632220105,1.07188676861382
37,0.001876669625076,0.00186100497094592,0.00189233427920607,0.000613812586938355,0.000572808256042065,0.000654816917834646,0.00126285703813764,0.00121882019456426,0.00130689388171102,2.75933689483609e-07,3.14754219595404e-07,-3.88205301117944e-08,20.303489092485,19.9338191185956,20.6731590663743,14.4856507089104,14.2445704347751,14.7267309830456,0.120422158146497,0.117097023287885,0.123747293005109,1.0592040874748,1.05194415738986,1.06646401755975
38,0.00159617268609451,0.00158259794278365,0.00160974742940537,0.000517198027017419,0.000471652324674092,0.000562743729360745,0.00107897465907709,0.00103204912884877,0.00112590018930541,2.39887531772606e-07,2.58304078229543e-07,-1.84165464569362e-08,18.6812810902623,18.3315811470574,19.0309810334671,13.7706966232067,13.5357271103406,14.0056661360728,0.118156983487463,0.1149609168024,0.121353050172526,1.03757194000985,1.03001308106894,1.04513079895076
39,0.00134853266663133,0.00133683755565883,0.00136022777760383,0.000420279400231453,0.000395190411365133,0.000445368389097774,0.000928253266399875,0.000902456674560715,0.000954049858239035,2.18189830638366e-07,2.28164066851017e-07,-9.97423621265085e-09,17.4764987679216,17.1622195987043,17.7907779371388,13.3018770695466,13.0826799358331,13.5210742032601,0.120717334126502,0.117432141131271,0.124002527121732,1.02489143572353,1.01743306214731,1.03234980929976
40,0.0011162673511094,0.00110637875760051,0.00112615594461829,0.000382300530520675,0.000358988603009686,0.000405612458031663,0.000733966820588729,0.000710578817985767,0.000757354823191692,1.9072694016755e-07,1.9101497270127e-07,-2.88032533720089e-10,16.1827973471918,15.8848894590008,16.4807052353828,12.7284566667664,12.514033008013,12.9428803255199,0.119369988088208,0.116083084401093,0.122656891775323,1.00473708113725,0.996849385714852,1.01262477655965
41,0.000900417590757976,0.000892214217547022,0.000908620963968931,0.000351157893146303,0.000334346371275871,0.000367969415016736,0.000549259697611673,0.000532891564992464,0.000565627830230883,1.69848160640575e-07,1.65046992113491e-07,4.80116852708438e-09,14.7135739673389,14.4337708959601,14.9933770387176,12.000264899101,11.7914528297313,12.2090769684707,0.12005998008638,0.11694139034266,0.123178569830099,0.976347874361532,0.968073494247208,0.984622254475856
42,0.000719597202052025,0.000712556428854321,0.000726637975249729,0.000314019452184148,0.000301121076826026,0.00032691782754227,0.000405577749867877,0.000394001995686473,0.00041715350404928,1.52241648874051e-07,1.36254559254763e-07,1.59870896192874e-08,13.4662810715147,13.208961431679,13.7236007113505,11.387959481549,11.1869117658208,11.5890071972771,0.120035797413825,0.116751955542305,0.123319639285345,0.950683071246858,0.941925498997024,0.959440643496692
43,0.000543417162712396,0.000537938473253132,0.000548895852171661,0.000269011996825083,0.000259024536475052,0.000278999457175114,0.000274405165887314,0.000265920183412381,0.000282890148362246,1.31016446087896e-07,1.1009458966377e-07,2.09218564241264e-08,11.9110695339687,11.6772406490791,12.1448984188584,10.4296376602231,10.2362406833689,10.6230346370774,0.116864193440196,0.113704856226044,0.120023530654348,0.909034864880039,0.899765536278508,0.918304193481569
44,0.000409118207765774,0.000404705857687515,0.000413530557844032,0.000250174566658385,0.000242629154225327,0.000257719979091442,0.000158943641107389,0.000152815080897426,0.000165072201317352,1.17399241252525e-07,9.14869152307215e-08,2.59123260218037e-08,10.2387918061638,10.0305675490134,10.4470160633142,9.33475182799748,9.15337470416666,9.51612895182829,0.117686086244055,0.114490385815088,0.120881786673023,0.855213299588766,0.845651703214634,0.864774895962898
45,0.00028781384652737,0.000284433344144541,0.000291194348910199,0.000201073483141306,0.000195956560169677,0.000206190406112936,8.67403633860635e-05,8.31254595436546e-05,9.03552672284724e-05,1.03573875683806e-07,7.30321067385785e-08,3.05417689452278e-08,8.55451236155683,8.37824506373674,8.73077965937692,8.01318519817833,7.85332023814393,8.17305015821272,0.112791384937393,0.109703723793097,0.11587904608169,0.784194533865913,0.774371629814292,0.794017437917534
46,0.000183460916701634,0.000180943816466583,0.000185978016936685,0.000146582573575639,0.00014340389783181,0.000149761249319468,3.68783431259949e-05,3.51283492492952e-05,3.86283370026945e-05,8.9987276484639e-08,5.82107259942783e-08,3.17765504903607e-08,6.48653699060938,6.34215141878204,6.63092256243671,6.24145308976876,6.10383987412501,6.37906630541251,0.10919748379178,0.106326311592195,0.112068655991364,0.663455315225586,0.653085821977768,0.673824808473403
47,0.000106820259158345,0.000105045504655113,0.000108595013661576,9.10049413294297e-05,8.90768055948087e-05,9.29330770640506e-05,1.58153178289151e-05,1.50104128627367e-05,1.66202227950936e-05,8.2956561868574e-08,4.68668620686591e-08,3.60896997999149e-08,4.06880053181106,3.96843938946195,4.16916167416017,3.965248588725,3.86749076742027,4.06300641002972,0.10343493122247,0.100672990905526,0.106196871539415,0.472084604535731,0.462549516410237,0.481619692661224
48,5.08371582022244e-05,4.96817999583228e-05,5.19925164461259e-05,4.36202472615036e-05,4.24511072424789e-05,4.47893872805284e-05,7.21691094072072e-06,6.86550234580989e-06,7.56831953563154e-06,7.69619102615705e-08,3.83329642511638e-08,3.86289460104067e-08,1.36450975312519,1.31568060725126,1.41333889899912,1.35841916518381,1.31179366558225,1.40504466478538,0.0948636729372616,0.0914657997671071,0.0982615461074162,0.17461752194702,0.168514289582172,0.180720754311868
49,1.7553702278676e-05,1.69745519123147e-05,1.81328526450372e-05,1.38323080235292e-05,1.32509414208592e-05,1.44136746261992e-05,3.72139425514675e-06,3.52824612715735e-06,3.91454238313614e-06,7.28767136921942e-08,3.29491823833913e-08,3.99275313088029e-08,0.0142508634555766,0.0139819959396753,0.014519730971478,0.249912700622295,0.247269402061143,0.252555999183448,0.122939681316652,0.11902691412453,0.126852448508774,0.0106358641854099,0.0103392276584153,0.0109325007124044
