statistic_name,stage_t,mean,se,median,p95,p99,bootstrap_ci_low,bootstrap_ci_high
intercept_angle,35,2.4176998747626,0.0308573905605564,2.15530213659189,5.10604920591786,6.54111873434885,2.35900487485168,2.47588011085049
intercept_angle,36,2.44562004119956,0.0318595941681795,2.13421576439056,5.29804906214624,6.84390486557888,2.38173906168024,2.50871253975375
intercept_angle,37,2.48022635937606,0.0332930553045762,2.20707246994309,5.34503312930634,7.23741626316012,2.41759703152126,2.545569144558
intercept_angle,38,2.41537393515899,0.031548068413087,2.12898057808377,5.13791619343059,6.78316689745905,2.35361423633827,2.4796225443471
intercept_angle,39,2.48430919596246,0.0324410595982111,2.16245566139375,5.40187775318146,6.95510441923961,2.42326688460322,2.54744888389092
intercept_angle,40,2.42562683080444,0.0310358059012512,2.14721572180123,5.06552545701482,6.81785620886603,2.36604649572829,2.48349720084014
intercept_angle,41,2.46293060709795,0.0321858455209294,2.19094286824336,5.25608110020799,7.11159349149097,2.39823236638346,2.52606354011509
intercept_angle,42,2.47974244689301,0.0331949522285348,2.14386563020986,5.21599131668012,7.0738756414103,2.41285880378668,2.54458006502628
intercept_angle,43,2.43357516597337,0.0323193656458255,2.16362040846532,5.1736942597729,6.97807286098435,2.37296621318,2.49814347381176
intercept_angle,44,2.4922390820532,0.0327465702453003,2.19937416185578,5.28816739555749,7.25105958037236,2.4252828289517,2.56033868773532
intercept_angle,45,2.43542542444871,0.0318996306022576,2.18360608838426,5.2326250145625,7.00899764610563,2.37125383864962,2.50208596130772
intercept_angle,46,2.39877423488708,0.0318282644211883,2.10546494475808,5.0673017181935,6.89577731776867,2.33588294959165,2.4611916441631
intercept_angle,47,2.40331342517463,0.0311476832581501,2.13872652824678,4.96120341506833,7.22574223133516,2.3405133431991,2.46609416050955
intercept_angle,48,2.28537777524335,0.0294737877133684,2.03022607630654,4.74571130789895,6.34396655912137,2.22520082718383,2.34143120569714
intercept_angle,49,2.24474433750294,0.0335053742522872,1.90216002478685,5.13714541366782,7.39213345106643,2.18086745618448,2.30845843344589
